ISO_Code,Year,Countries,Economic Freedom Summary Index,Rank,Quartile,Government Consumption,1A data,Transfers and subsidies,1B data,Government enterprises and investment,1C data,Top marginal income tax rate,1Di data,Top marginal income and payroll tax rate,1Dii data,Top marginal tax rate,Size of Government,Judicial independence,Impartial courts,Protection of property rights, Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Adjustment,Legal System & Property Rights,Money growth,3A data,Standard deviation of inflation,3B data,Inflation: Most recent year,3C data,Freedom to own foreign currency bank accounts,Sound Money, Revenue from trade taxes (% of trade sector),4Ai data,Mean tariff rate,4Aii data,Standard deviation of tariff rates,4Aiii data,Tariffs, Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Bureaucracy costs,"Starting
a  business",Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation
ESP,1985,Spain,6.14,29,2,6.272151107,18.67468624,5.53133515,16.9,4,30.2,1,66,,,1,4.200871564,,,,,,,,,,1,6.420512532,8.803490358,5.982548212,9.164,2.09,8.462,7.69,0,6.607372589,8,3,8.5,7.5,,,8.25,,,,9.6,,5,,5,7.616666667,8,6.796796797,10,8.265598932,,,5.1759,4.134,,1,3.436633333,,,,,,,,5.851116133
LKA,1985,Sri Lanka,4.71,76,3,8.41511731,11.38860115,8.746594005,5.1,0,54.3,0,60.5,,,0,4.290427829,,,,,,,,,,1,3.396095274,8.271448359,8.642758207,7.012,7.47,9.884,0.58,0,6.29186209,2.933333333,10.6,4.2,29,,,3.566666667,,,,6,,0,,0,3.188888889,5,7.917917918,8,6.972639306,,,,,,10,,,,,,,,,6.363215138
SUR,1985,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,0.974358974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,1985,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,0.692307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,1985,Sweden,6.45,22,1,1.390978891,35.27067177,3.051771117,26,6,28,0,80,,,0,2.610687502,,,,,,,,,,1,7.411461039,9.227592997,3.862035015,9.496,1.26,8.674,6.63,5,8.099398249,9.8,0.3,9.18,4.1,,,9.49,,,,9.8,,5,,5,8.096666667,8,6.216216216,10,8.072072072,,,4.4865,4.486,,3,3.990833333,,,,,,,,6.031452703
CHE,1985,Switzerland,8.15,4,1,6.538144559,17.7703085,6.539509537,13.2,,,7,33-46,,,7,6.692551365,,,,,,,,,,1,8.3465,9.811502608,0.942486962,9.3,1.75,9.526,2.37,10,9.659375652,8.666666667,2,9.12,4.4,,,8.893333333,,,,10,,10,,10,9.631111111,5,9.249249249,10,8.083083083,,,6.21,5.102,,3,4.770666667,,,,,,,,6.426874875
SYR,1985,Syria,3.01,106,4,3.89465218,26.75818259,,,0,62.5,,,,,,1.94732609,,,,,,,,,,0.555555556,2.375997751,7.294689583,13.52655209,7.912,5.22,9.18,4.1,0,6.096672396,6.266666667,5.6,4.6,27,,,5.433333333,,,,0,,0,,0,1.811111111,0,2.562562563,0,0.854187521,,,,,,0,,,,,,,,,2.795615215
TWN,1985,Taiwan,6.58,19,1,4.705882353,24,9.953678474,0.67,2,43,3,60,,,3,4.914890207,,,,,,,,,,0.962962963,7.113846688,9.837184996,-0.814075022,7.516,6.21,9.96,-0.2,10,9.328296249,8.133333333,2.8,,,,,8.133333333,,,,9.4,,2,,2,6.511111111,2,8.228228228,10,6.742742743,,,,,,0,,,,,,,,,5.018265105
TJK,1985,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,1985,Tanzania,3.79,93,4,6.441176471,18.1,8.719346049,5.2,0,53.5,0,95,,,0,3.79013063,,,,,,,,,,0.875,5.480167283,7.92,10.4,8.428,3.93,3.344,33.28,0,4.923,5.8,6.3,3.6,32,,,4.7,,,,0,,0,,0,1.566666667,0,0.890890891,0,0.29696363,,,,,,5,,,,,,,,,3.214377165
THA,1985,Thailand,5.94,35,2,6.512074646,17.8589462,9.809264305,1.2,4,32,2,65,,,2,5.580334738,,,,,,,,,,1,5.845511769,9.490113053,-2.549434734,9.02,2.45,9.564,2.18,0,7.018528263,5.666666667,6.5,3.76,31.2,,,4.713333333,,,,9.4,,2,,2,5.371111111,8,7.957957958,10,8.652652653,,,7.9335,,,0,,,,,,,,,5.884510809
TLS,1985,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,1985,Togo,5.14,59,3,7.595404161,14.17562585,9.482288828,2.4,0,73.9,,-,,,,5.69256433,,,,,,,,,,0.714285714,3.620273958,9.656210171,-1.718949147,8.04,4.9,9.32,3.4,0,6.754052543,4.266666667,8.6,,,,,4.266666667,,,,9.8,,0,,0,4.688888889,2,9.81981982,8,6.606606607,,,,,,0,,,,,,,,,4.96688018
TTO,1985,Trinidad & Tob.,4.86,70,3,3.090956172,29.49074901,6.076294278,14.9,2,40.6,4,50,,,4,3.791812613,,,,,,,,,,0.974358974,4.722858525,9.982978927,-0.085105363,6.664,8.34,7.98,10.1,0,6.156744732,6.2,5.7,6.6,17,,,6.4,,,,2.2,,0,,0,2.866666667,8,8.118118118,8,8.039372706,,,,,,10,,,,,,,,,6.765856326
TUN,1985,Tunisia,4.37,86,4,5.158299736,22.4617809,8.283378747,6.8,0,52.8,2,62.3,,,2,3.860419621,,,,,,,,,,0.666666667,2.935311443,8.477652614,7.61173693,8.252,4.37,9.28,3.6,0,6.502413154,1.133333333,13.3,5.2,24,,,3.166666667,,,,7.6,,0,,0,3.588888889,2,8.748748749,6,5.58291625,,,,,,3,,,,,,,,,4.957938196
TUR,1985,Turkey,4.65,79,3,8.401145884,11.43610399,7.302452316,10.4,2,45.5,2,63,,,2,4.92589955,,,,,,,,,,0.777777778,5.196010462,5.023190786,24.88404607,5.712,10.72,0,52.18,0,2.683797697,8,3,4.68,26.6,,,6.34,,,,9.4,,0,,0,5.246666667,8,3.963963964,8,6.654654655,,,7.2441,,,0,,,,,,,,,5.21180047
UGA,1985,Uganda,2.75,108,4,7.202572148,15.5112547,,,4,39,0,70,,,0,3.734190716,,,,,,,,,,0.777777778,2.603178483,0,76.2,0,40.83,0,120.35,0,0,2.266666667,11.6,4,30,,,3.133333333,,,,5,,0,,0,2.711111111,2,5.735735736,0,2.578578579,,,,,,10,,,,,,,,,4.704665931
UKR,1985,Ukraine,,,,4.411764706,25,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
ARE,1985,Unit. Arab Em.,6.64,16,1,0,41.76007994,,,,,10,0,,,10,5,,,,,,,,,,0.586206897,4.636095541,9.297703613,-3.511481933,8.088,4.78,9.108,4.46,10,9.123425903,10,0,9.2,4,,,9.6,,,,10,,5,,5,8.2,5,7.347347347,,6.173673674,,,,,,10,,,,,,,,,6.2221165
GBR,1985,United Kingdom,7.71,6,1,4.161492212,25.85092648,5.258855586,17.9,7,23.5,2,60,,,2,4.60508695,,,,,,,,,,1,6.654272272,9.565912951,2.170435247,9.008,2.48,8.818,5.91,10,9.347978238,9.6,0.6,8.5,7.5,,,9.05,,,,10,,10,,10,9.683333333,10,9.119119119,10,9.70637304,,,5.1759,5.19,,10,6.788633333,,,,,,,,8.247503187
USA,1985,United States,8.26,3,1,5.453789359,21.45711618,6.730245232,12.5,8,18.07,4,50-59,,,4,6.046008648,,,,,,,,,,1,8.3465,9.107947555,4.460262227,9.036,2.41,9.296,3.52,10,9.359986889,8.866666667,1.7,8.68,6.6,,,8.773333333,,,,10,,8,,8,8.924444444,10,8.398398398,10,9.466132799,,,7.5888,5.63,,10,7.7396,,,,,,,,8.6028664
URY,1985,Uruguay,6.16,28,2,6.643092665,17.41348494,7.411444142,10,4,36.2,10,0,,,10,7.013634202,,,,,,,,,,1,5.377992288,2.977719437,35.11140282,1.852,20.37,0,74.02,10,3.707429859,6.133333333,5.8,3.8,31,,,4.966666667,,,,10,,10,,10,8.322222222,5,7.907907908,8,6.969302636,,,,,,10,,,,,,,,,6.361955703
VEN,1985,Venezuela,6.08,30,2,7.51672916,14.44312085,8.910081744,4.5,4,35.8,7,45,,,7,6.856702726,,,,,,,,,,1,5.25171383,7.493291913,12.53354043,7.94,5.15,7.918,10.41,10,8.337822978,3.933333333,9.1,3.42,32.9,,,3.676666667,,,,5,,5,,5,4.558888889,8,8.768768769,4,6.922922923,,,7.2441,,,1,,,,,,,,,5.393461293
VNM,1985,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,1985,"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,0.714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,1985,Zambia,3.55,99,4,3.595551263,27.7751257,8.991825613,4.2,0,90.7,0,80,,,0,3.146844219,,,,,,,,,,1,3.989893212,6.580736231,17.09631884,4.96,12.6,1.772,41.14,0,3.328184058,5.733333333,6.4,3.04,34.8,,,4.386666667,,,,2.4,,2,,2,2.928888889,2,3.103103103,0,1.701034368,,,,,,10,,,,,,,,,4.373434675
ZWE,1985,Zimbabwe,4.69,77,3,4.51569396,24.64664053,7.411444142,10,10,14.5,0,63,,,0,5.481784526,,,,,,,,,,0.857142857,2.836650376,8.859710279,5.701448603,7.68,5.8,8.702,6.49,0,6.31042757,4.666666667,8,8.26,8.7,,,6.463333333,,,,1.6,,2,,2,3.354444444,2,3.953953954,8,4.651317985,,,,,,10,,,,,,,,,5.487026602
ALB,1980,Albania,,,,7.702251055,13.81234641,,,,,,,,,,,,,,,,,,,,0.962962963,,,,,,,,0,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,0,,,,,,,,,
DZA,1980,Algeria,3.79,91,4,4.649980982,24.19006466,,,4,32.5,,,,,,4.324990491,,,,,,,,,,0.625,3.059836441,8.352396985,8.238015073,7.7,5.75,4.868,25.66,0,5.230099246,,,7.66,11.7,,,7.66,,,,0,,0,,0,2.553333333,0,,,0,,,,,,5,,,,,,,,,
AGO,1980,Angola,,,,,,,,,,,,,,,,,,,,,,,,,0.555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,1980,Argentina,4.25,80,4,6.911764706,16.5,7.493188011,9.7,4,39.5,6,45,,,6,6.101238179,,,,,,,,,,0.888888889,3.966360132,0,90.3366836,0,119.77,0,92.02,10,2.5,3.666666667,9.5,4.44,27.8,,,4.053333333,,,,9.8,,0,,0,4.617777778,5,8.338338338,0,4.446112779,,,5.1759,5.014,,1,3.729966667,,,,,,,,4.088039723
ARM,1980,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1980,Australia,6.85,12,1,4.932586425,23.22920616,7.384196185,10.1,6,28.4,2,62,,,2,5.079195653,,,,,,,,,,1,7.262192771,8.56638948,7.168052598,9.396,1.51,8.032,9.84,10,8.99859737,7.6,3.6,7.1,14.5,,,7.35,,,,9.8,,2,,2,6.383333333,8,7.137137137,10,8.379045712,,,5.1759,,,10,,,,,,,,,6.53086844
AUT,1980,Austria,6.45,18,1,4.46477744,24.8197567,4.114441417,22.1,2,44.5,2,62,,,2,3.144804714,,,,,,,,,,1,8.042893976,9.965590846,-0.17204577,9.64,0.9,9,5,5,8.401397712,9.533333333,0.7,7.68,11.6,,,8.606666667,,,,10,,2,,2,6.868888889,5,7.877877878,8,6.959292626,,,4.4865,4.398,,5,4.628166667,,,,,,,,5.793729646
AZE,1980,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,0.923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,1980,Bahamas,6.28,22,1,6.807833799,16.85336508,10,0.5,7,24.2,10,0,,,10,8.45195845,,,,,,,,,,0.945945946,,8.432383122,7.838084392,8.584,3.54,7.998,10.01,0,6.25359578,4.6,8.1,4.04,29.8,,,4.32,,,,6,,0,,0,3.44,10,7.857857858,8,8.619285953,,,,,,10,,,,,,,,,6.984746031
BHR,1980,Bahrain,7.39,7,1,3.249288971,28.9524175,9.809264305,1.2,6,29.8,10,0,,,10,7.264638319,,,,,,,,,,0.536585366,,6.38,18.1,6.808,7.98,9.22,3.9,10,8.102,9.393333333,0.91,,,,,9.393333333,,,,10,,2,,2,7.131111111,8,9.419419419,,8.70970971,,,,,,10,,,,,,,,,7.072990404
BGD,1980,Bangladesh,3.28,101,4,9.888753429,6.378238342,,,2,44.4,1,60,,,1,4.296251143,,,,,,,,,,0.777777778,2.257230405,7.028608971,14.85695515,4.228,14.43,7.322,13.39,0,4.644652243,1.066666667,13.4,0,99.9,,,0.533333333,,,,0,,0,,0,0.177777778,0,4.314314314,6,3.438104771,,,,,,10,,,,,,,,,5.029096241
BRD,1980,Barbados,5.72,33,2,6.094915195,19.27728834,10,0.2,8,19,1,60,,,1,6.273728799,,,,,,,,,,0.871794872,,7.168853991,14.15573004,7.588,6.03,5.488,22.56,0,5.061213498,7.533333333,3.7,,,,,7.533333333,,,,7.8,,0,,0,5.111111111,8,7.577577578,6,7.192525859,,,,,,10,,,,,,,,,6.446211867
BEL,1980,Belgium,7.35,9,1,5.425360131,21.55377556,3.051771117,26,6,26.8,0,76,,,0,3.619282812,,,,,,,,,,1,7.82603253,9.780269388,1.098653062,9.376,1.56,9.164,4.18,10,9.580067347,9.8,0.3,8.24,8.8,,,9.02,,,,10,,10,,10,9.673333333,10,5.798366435,10,8.599455478,,,4.4865,2.99,,3,3.492166667,,,,,,,,6.045811073
BLZ,1980,Belize,5.59,39,2,6.102729276,19.25072046,9.427792916,2.6,0,51,,,,,,5.176840731,,,,,,,,,,0.837837838,,8.50380836,7.4809582,8.496,3.76,7.72,11.4,0,6.17995209,4.2,8.7,,,,,4.2,,,,3.2,,5,,5,4.133333333,,8.218218218,8,8.109109109,,,,,,10,,,,,,,,,6.871480894
BEN,1980,Benin,4.56,70,3,9.346637083,8.221433919,,,0,53.7,,,,,,4.673318541,,,,,,,,,,0.111111111,2.592181968,8.217030254,8.91484873,8.74,3.15,7.962,10.19,0,6.229757564,2.933333333,10.6,,,,,2.933333333,,,,9.6,,0,,0,4.177777778,0,9.93993994,6,5.313313313,,,,,,,,,,,,,,,5.147231191
BTN,1980,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,0.923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,1980,Bolivia,4.08,83,4,6.74874601,17.05426357,9.70027248,1.6,0,50.1,3,48,,,3,4.862254622,,,,,,,,,,0.888888889,2.193493717,7.185490514,14.07254743,3.812,15.47,0.54,47.3,10,5.384372628,4.8,7.8,,,,,4.8,,,,5.6,,2,,2,4.133333333,,4.974974975,0,2.487487487,,,,,,3,,,,,,,,,3.811055219
BIH,1980,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,0.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,1980,Botswana,5.34,50,2,3.677164917,27.49763928,8.801089918,4.9,2,44.9,0,75,,,0,3.619563709,,,,,,,,,,1,,9.318181664,3.409091681,6.44,8.9,6.184,19.08,0,5.485545416,1.466666667,12.8,8.12,9.4,,,4.793333333,,,,8,,5,,5,5.931111111,,8.948948949,4,6.474474474,,,,,,10,,,,,,,,,6.323039179
BRA,1980,Brazil,3.92,86,4,8.338574665,11.64884614,6.757493188,12.4,2,49.2,4,55,,,4,5.274016963,,,,,,,,,,0.555555556,4.55572781,3.257959871,33.71020065,3.372,16.57,0,87.47,0,1.657489968,3.333333333,10,,,,,3.333333333,,,,6.4,,0,,0,3.244444444,5,6.786786787,4,5.262262262,,,5.1759,,,3,,,,,,,,,4.885140276
BRN,1980,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,0.794871795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,1980,Bulgaria,,,,9.040147781,9.263497545,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,0,,0,,0,,0,,,0,,,,,,0,,,,,,,,,
BFA,1980,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,0.555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,1980,Burundi,3.92,86,4,9.069700184,9.163019375,,,0,91.9,,,,,,4.534850092,,,,,,,,,,0.862068966,4.344139436,7.909655454,10.45172273,7.604,5.99,6.724,16.38,0,5.559413863,0,18.1,,,,,0,,,,1,,0,,0,0.333333333,2,4.814814815,2,2.938271605,,,,,,10,,,,,,,,,4.840432963
KHM,1980,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,1980,Cameroon,5.55,45,2,8.178992102,12.19142685,9.918256131,0.8,7,22.2,,,,,,8.365749411,,,,,,,,,,0.555555556,4.497705325,7.827982054,10.86008973,7.648,5.88,7.15,14.25,0,5.656495513,2.666666667,11,,,,,2.666666667,,,,9.6,,0,,0,4.088888889,0,,6,3,,,,,,10,,,,,,,,,5.157306667
CAN,1980,Canada,7.77,4,1,3.285766157,28.82839507,6.185286104,14.5,10,12.6,2,60-68,,,2,5.367763065,,,,,,,,,,1,7.175448193,9.243164966,3.784175172,9.32,1.7,7.8,11,10,9.090791241,8.4,2.4,7.76,11.2,,,8.08,,,,10,,8,,8,8.693333333,10,9.159159159,10,9.71971972,,,7.2441,4.75,,10,7.331366667,,,,,,,,8.525543193
CPV,1980,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,1980,Central Afr. Rep.,4.29,78,3,7.673209104,13.91108905,,,0,53.5,,,,,,3.836604552,,,,,,,,,,0.666666667,3.888272953,7.155775943,14.22112029,7.504,6.24,6.346,18.27,0,5.251443986,2.933333333,10.6,,,,,2.933333333,,,,9.6,,0,,0,4.177777778,0,,,0,,,,,,0,,,,,,,,,
TCD,1980,Chad,,,,4.117647059,26,,,,,,,,,,,,,,,,,,,,0.793103448,4.183245383,8.404836178,7.975819109,9.764,0.59,8.254,8.73,0,6.605709045,,,,,,,,,,,9.6,,0,,0,,2,,,2,,,,,,10,,,,,,,,,
CHL,1980,Chile,5.05,57,3,7.359853613,14.97649772,6.621253406,12.9,4,32.2,2,58,,,2,4.995276755,,,,,,,,,,0.777777778,5.718531845,0,52.45717511,0,80.63,4.248,28.76,5,2.312,8.133333333,2.8,8,10,10,0,8.711111111,,,,8.8,,2,,2,6.503703704,5,9.62962963,8,7.543209877,,,,,,3,,,,,,,,,5.697855926
CHN,1980,China,3.64,94,4,5.25203699,22.14307423,,,0,56.4,,,,,,2.626018495,,,,,,,,,,0.666666667,,6,20,9.476,1.31,9.244,3.78,0,6.18,6.2,5.7,0.1,49.5,,,3.15,,,,5,,0,,0,2.716666667,0,,0,0,,,4.4865,,,0,,,,,,,,,3.037680214
COL,1980,Colombia,4.59,69,3,8.068550921,12.56692687,9.346049046,2.9,2,41.5,2,56,,,2,5.353649992,,,,,,,,,,1,3.982813988,6.629701536,16.85149232,8.332,4.17,4.478,27.61,0,4.859925384,4.8,7.8,3.3,33.5,,,4.05,,,,6.8,,0,,0,3.616666667,8,,8,8,,,,,,0,,,,,,,,,5.157306667
COD,1980,"Congo, Dem. R.",2.84,102,4,9.035528047,9.27920464,9.972752044,0.6,0,58.2,1,60,,,1,5.002070023,,,,,,,,,,0.333333333,1.577263365,4.38896821,28.05515895,0,25.49,0,51.4,0,1.097242052,3.133333333,10.3,5.28,23.6,,,4.206666667,,,,0,,2,,2,2.068888889,0,8.688688689,,4.344344344,,,,,,3,,,,,,,,,4.434055452
COG,1980,"Congo, Rep. Of",4.67,66,3,3.723714539,27.33937057,,,2,44.2,,,,,,2.861857269,,,,,,,,,,0.793103448,4.183245383,8.775906018,6.120469908,7.036,7.41,5.972,20.14,0,5.445976505,7.466666667,3.8,,,,,7.466666667,,,,9.6,,0,,0,5.688888889,0,,6,3,,,,,,10,,,,,,,,,5.157306667
CRI,1980,Costa Rica,5.52,46,2,5.367179227,21.75159063,8.501362398,6,4,36.2,5,50,,,5,5.717135406,,,,,,,,,,1,5.206779988,7.717603773,11.41198114,8.216,4.46,6.234,18.83,10,8.041900943,6.466666667,5.3,0,55,,,3.233333333,,,,0,,2,,2,1.744444444,10,6.366366366,,8.183183183,,,,,,10,,,,,,,,,6.896333734
CIV,1980,Cote d'Ivoire,5.2,52,2,5.539485068,21.16575077,9.005449591,4.15,2,46.8,5,45,,,5,5.386233665,,,,,,,,,,0.555555556,,8.661860148,6.690699259,6.18,9.55,5.172,24.14,0,5.003465037,1.466666667,12.8,4.5,27.5,,,2.983333333,,,,9.6,,0,,0,4.194444444,2,9.66966967,8,6.556556557,,,,,,10,,,,,,,,,6.206163664
HRV,1980,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,0.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,1980,Cyprus,5.56,44,2,6.773880547,16.96880614,8.337874659,6.6,8,18.1,1,60,,,1,6.027938802,,,,,,,,,,0.897435897,,6.4,18,9.056,2.36,7.3,13.5,0,5.689,7.333333333,4,6.58,17.1,,,6.956666667,,,,9.2,,0,,0,5.385555556,8,9.279279279,4,7.093093093,,,,,,0,,,,,,,,,5.150505721
CZE,1980,Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,0.962962963,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,,,,,0,,,,,,,,,
DNK,1980,Denmark,6.24,24,1,1.760821554,34.01320672,4.46866485,20.8,6,25,0,66,,,0,3.057371601,,,,,,,,,,1,7.175448193,8.69852286,6.507385702,9.672,0.82,8.354,8.23,0,6.681130715,9.666666667,0.5,8.24,8.8,,,8.953333333,,,,9.6,,5,,5,7.851111111,10,8.238238238,10,9.412746079,,,5.1759,2.198,,3,3.457966667,,,,,,,,6.435356373
DOM,1980,Dominican Rep.,5.59,39,2,9.123777875,8.979155225,9.70027248,1.6,4,31.6,0,73,,,0,5.706012589,,,,,,,,,,0.888888889,5.461499322,8.963129272,5.184353642,8.144,4.64,7.26,13.7,5,7.341782318,3.466666667,9.8,,,,,3.466666667,,,,2.6,,2,,2,2.688888889,8,7.577577578,,7.788788789,,,,,,10,,,,,,,,,6.764009156
ECU,1980,Ecuador,5.7,36,2,6.007527953,19.57440496,8.801089918,4.9,2,40.2,5,50,,,5,5.452154468,,,,,,,,,,0.888888889,5.531955196,8.134780972,9.326095139,8.376,4.06,6.098,19.51,10,8.152195243,5.2,7.2,,,,,5.2,,,,7.4,,2,,2,4.866666667,5,7.267267267,4,5.422422422,,,,,,0,,,,,,,,,4.519906899
EGY,1980,Egypt,4.32,77,3,6.332536392,18.46937627,5.449591281,17.2,4,39.7,0,80,,,0,3.945531918,,,,,,,,,,0.777777778,2.449996134,6.289449783,18.55275108,8.116,4.71,6.394,18.03,10,7.699862446,1.266666667,13.1,0.52,47.4,,,0.893333333,,,,8.2,,0,,0,3.031111111,5,2.802802803,4,3.934267601,,,7.9335,,,0,,,,,,,,,4.459737822
SLV,1980,El Salvador,4.12,82,4,6.970276561,16.30105969,9.400544959,2.7,7,20.2,3,60,,,3,6.59270538,,,,,,,,,,1,2.539384205,8.520664415,7.396677924,7.388,6.53,6.61,16.95,0,5.629666104,5.866666667,6.2,0.4,48,,,3.133333333,,,,0,,2,,2,1.711111111,,9.84984985,,9.84984985,,,,,,3,,,,,,,,,
EST,1980,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,1980,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,0.777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJI,1980,Fiji,5.57,42,2,5.561713512,21.09017406,9.455040872,2.5,2,46.2,2,53,,,2,4.754188596,,,,,,,,,,1,,9.822839678,-0.885801612,7.716,5.71,6.538,17.31,0,6.019209919,6.133333333,5.8,,,,,6.133333333,,,,6.4,,5,,5,5.844444444,2,7.267267267,6,5.089089089,,,,,,10,,,,,,,,,5.652264399
FIN,1980,Finland,6.5,16,1,4.431754493,24.93203473,6.239782016,14.3,7,23.3,1,65-71,,,1,4.667884127,,,,,,,,,,1,6.82846988,8.815768294,5.921158531,9.272,1.82,8.05,9.75,5,7.784442073,9.466666667,0.8,7.92,10.4,,,8.693333333,,,,9.8,,2,,2,6.831111111,8,9.88988989,8,8.629963297,,,4.4865,4.926,,3,4.1375,,,,,,,,6.383731648
FRA,1980,France,6.05,27,2,4.838436625,23.54931547,3.024523161,26.1,6,27.4,3,60,,,3,4.215739946,,,,,,,,,,0.888888889,6.449110442,8.188823887,9.055880565,9.692,0.77,7.724,11.38,0,6.401205972,9.666666667,0.5,8.24,8.8,,,8.953333333,,,,9.4,,2,,2,6.784444444,10,8.728728729,8,8.909576243,,,4.4865,4.31,,3,3.932166667,,,,,,,,6.420871455
GAB,1980,Gabon,4.38,75,3,1.883675015,33.59550495,,,8,19.9,,,,,,4.941837508,,,,,,,,,,0.75,3.447011486,8.28241313,-8.587934351,5.432,11.42,2.644,36.78,0,4.089603282,5.133333333,7.3,1.34,43.3,,,3.236666667,,,,9.6,,0,,0,4.278888889,0,,6,3,,,,,,10,,,,,,,,,5.157306667
GMB,1980,"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,0.948717949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,1980,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,1980,Germany,7.18,11,1,4.029411765,26.3,5.340599455,17.6,6,25.7,2,65,,,2,4.342502805,,,,,,,,,,1,7.695915663,9.18,4.1,9.644,0.89,8.9,5.5,10,9.431,9.666666667,0.5,8.24,8.8,,,8.953333333,,,,10,,8,,8,8.984444444,5,7.827827828,10,7.609275943,,,4.4865,4.398,,1,3.294833333,,,,,,,,5.452054638
GHA,1980,Ghana,2.83,103,4,8.31069894,11.7436236,9.482288828,2.4,4,35.4,1,60,,,1,5.698246942,,,,,,,,,,0.777777778,2.449996134,3.23234524,33.8382738,3.172,17.07,0,51.13,0,1.60108631,0,17.3,,,,,0,,,,0,,0,,0,0,2,3.293293293,0,1.764431098,,,,,,10,,,,,,,,,4.397363929
