cgdppc,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia (Plurinational State of),Brazil,Barbados,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Côte d'Ivoire,Cameroon,D.R. of the Congo,Congo,Colombia,Comoros,Cabo Verde,Costa Rica,Czechoslovakia,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Spain,Estonia,Ethiopia,Finland,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,"China, Hong Kong SAR",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran (Islamic Republic of),Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Republic of Korea,Kuwait,Lao People's DR,Lebanon,Liberia,Libya,Saint Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Republic of Moldova,Madagascar,Mexico,TFYR of Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Puerto Rico,D.P.R. of Korea,Portugal,Paraguay,State of Palestine,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan (Former),Senegal,Singapore,Sierra Leone,El Salvador,Serbia,Sao Tome and Principe,Former USSR,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, Province of China",U.R. of Tanzania: Mainland,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Former Yugoslavia,South Africa,Zambia,Zimbabwe
1963,2683,,2307,,8877,,16188,9755,,899,10917,1336,1788,1312,6049,,1063,,1309,2519,8359,1228,1358,15055,16816,5889,950,2463,1134,2150,1678,3518,1437,1352,4248,9734,4309,6146,,12365,5034,3364,13568,2074,,2956,1885,6884,,874,9527,11792,6203,12849,,2684,1408,2210,979,1551,5504,2326,6100,2182,6950,2489,5354,1259,1356,6705,3591,6481,13275,8235,8890,4466,3091,6668,,1385,,816,1638,,708,9704,869,11153,2960,1502,662,,17157,,2548,,1232,3906,3686,1058,2261,858,5725,984,571,1094,4546,1039,2857,4907,1666,2566,2671,11658,11521,699,13912,2307,1224,3066,2886,1965,4495,9292,867,4699,1368,1275,,2114,9465,703,9669,1987,2443,2764,1929,1804,3538,1469,8776,,8176,13461,1281,5391,3032,1478,1182,1542,,,8582,2259,3474,2491,1686,1269,,6864,19515,,6166,1193,1139,2527,6392,1719,2538
1964,2673,,2386,,9685,,16666,10195,,881,11672,1425,1817,1292,6473,,1162,,1358,2527,8468,1223,1356,15747,17719,5928,1050,2716,1152,1859,1742,3628,1492,1371,4360,10140,4598,5224,,13196,4988,3474,14812,2120,,3080,1966,7102,,899,9793,12492,6230,13513,,2693,1455,2244,1078,1764,5818,2337,6414,2248,7560,2382,5709,1160,1389,6849,3737,7077,14753,8685,9170,4536,3492,7371,,1500,,773,1692,,715,10084,888,15157,3041,1536,706,,18256,,2573,,1212,4325,4715,1003,2341,858,6641,1013,582,1394,4634,973,3017,5590,1626,2741,2897,12886,12243,719,14205,2250,1287,3172,2989,1943,4649,9735,916,4925,1427,1330,,2343,9981,604,10315,1906,2396,2595,1888,1899,3878,1548,9889,,8870,14389,1432,5729,3186,1413,1280,1595,,,8648,2308,3542,2711,1659,1324,,6972,20360,,6538,1210,1145,2792,6577,1962,2525
1965,2670,,2473,,10458,,16904,10551,,882,12048,1529,1873,1342,6813,,1196,,1397,2509,8219,1208,1338,16343,18237,5595,1134,2489,1162,2132,1709,3614,1498,1424,4643,10467,4495,6762,,13666,4979,2947,15495,1946,,3267,2049,7415,,933,10471,13016,6150,13802,,2567,1508,2446,1151,1981,6353,2376,7064,2272,7734,2359,5810,1370,1277,6914,4070,7516,15816,9393,9320,4760,3747,7753,,1469,,788,1710,,721,10855,948,18673,3115,1547,693,,18474,,2598,,1180,4558,4268,1018,2536,849,6765,1044,581,1571,4388,979,3114,5836,1672,3186,3128,13217,12760,724,14774,2204,1318,3392,3148,1971,4860,10438,947,5294,1480,1391,,2538,10445,645,11329,1977,2351,2725,1957,1971,3927,1622,10441,,8837,14793,1613,6792,2963,1390,1393,1675,,,8463,2400,3574,2949,1630,1312,,7024,21390,,6549,1185,1153,2820,6748,2410,2673
1966,2633,,2566,,10422,,17152,11132,,888,12548,1563,1858,1316,7301,,1276,,1488,2626,9063,1308,1310,17093,18802,6175,1147,2594,1193,2236,1684,3702,1611,1501,4899,10885,4637,6964,,14089,4998,3240,15806,2027,,3293,2017,7797,,949,10837,13674,6061,14099,,2457,1494,2755,1223,2038,6793,2466,7381,2318,8241,2297,6198,1079,1233,7100,4344,7704,16717,9448,9834,4987,3779,8526,,1575,,802,1870,,728,11341,1140,21204,3183,1494,756,,18961,,2676,,1204,4852,4592,974,2824,837,7026,1074,585,1559,4369,1032,3212,5982,1613,2977,3061,13641,13324,770,15550,2259,1426,3561,3310,1998,5123,11045,1034,5504,1495,1500,,2802,11109,726,12704,1892,2351,2947,2012,2077,4240,1716,10947,,9243,15064,1639,6830,2565,1336,1537,1845,,,8710,2402,4073,3151,1795,1351,,7227,22529,,6717,1161,1166,3013,6875,2060,2595
1967,2642,,2662,,10598,,17834,11495,,935,13142,1531,1992,1299,7645,,1247,,1546,2738,9664,1357,1328,17334,19478,6435,1151,2551,1247,2006,1599,3747,1703,1487,5074,11336,5082,7732,,14055,4989,3248,16303,2119,,3396,1951,8144,,969,11238,14304,5921,14440,,2377,1494,2693,1294,2147,7064,2531,7621,2380,8467,2204,6610,1106,1272,7607,4690,7325,16011,9536,10632,5071,3673,9364,,1597,,822,1962,,736,10565,1103,22726,3256,1593,782,,19727,,2757,,1180,5124,4745,1015,3011,816,7109,1107,622,1592,4528,1156,3191,5584,1609,2650,3252,14436,14205,745,14796,3660,1421,3827,3409,1997,5266,11643,1084,5978,1573,1467,,3020,11739,724,13523,1776,2279,3237,1932,2156,4281,1790,11437,,9459,15584,1749,5574,2801,1316,1615,1971,,,9135,2331,4187,3470,1825,1379,,6890,22842,,6778,988,1180,3057,7191,2216,2760
1968,2670,,2759,,10943,,18546,12053,,919,13747,1617,1994,1370,7730,,1289,,1683,2912,10520,1395,1423,17977,20260,6502,1093,2788,1278,2056,1664,3872,1606,1531,5269,11854,4703,7869,,14882,4955,3157,17013,2067,,3514,1946,8519,,965,11946,14903,5935,14610,,2371,1492,2788,1334,2194,7496,2683,8123,2443,8796,2244,6745,1154,1233,8145,5238,8396,14603,11034,11579,5219,3278,10536,,1647,,837,2190,,743,11632,1140,29149,3347,1672,785,,20677,,2840,,1269,5509,4850,1014,3306,817,7404,1140,679,1685,3897,1090,3348,5509,1593,2769,3312,15353,14732,739,14669,6473,1481,4006,3270,2070,5541,12084,1194,6558,1642,1357,,3195,12399,791,14400,1826,2232,3615,2049,2178,4323,1862,12121,,9974,16267,1625,5862,2793,1282,1637,2124,,,9750,2520,4442,3724,1844,1371,,6995,23692,,7148,945,1190,3145,7249,2261,2868
1969,2646,,2852,,11761,,19210,12671,,865,14763,1613,1997,1368,8045,,1384,,1713,2966,12147,1391,1365,18562,21432,6811,1172,2820,1346,2265,1657,4007,1598,1580,5505,12133,4569,8931,,15853,4944,3401,18151,2240,,3598,2043,9104,,980,13251,15879,5998,15241,,2413,1488,2756,1399,2102,8222,2771,9056,2369,9417,2270,7004,1245,1239,8448,5747,8449,15263,12147,12317,5564,3201,11753,,1683,,828,2458,,750,11634,1190,31396,3441,1700,778,,23369,,2925,,1290,5841,5302,968,3480,844,8091,1174,733,1629,3869,1081,3397,5554,1478,3877,3384,16509,15196,757,16117,7915,1536,4350,3283,2120,5444,12919,1344,6723,1699,1436,,3342,12653,833,15152,1878,1948,4049,2158,2205,4788,1934,12309,,10852,16930,1649,5589,3127,1340,1784,2218,,,10406,2556,4598,4010,1905,1474,,7343,24196,,7277,999,1204,3424,7664,2293,2930
1970,2632,,2957,,12259,,19990,13523,,1067,15724,1752,1865,1380,8447,14161,1424,,1759,3275,13394,1489,1435,18849,22883,6702,1291,3013,1359,2266,1647,4209,1875,1639,5829,12376,4335,9270,12527,16581,5872,3656,18504,2408,6334,3778,2137,9218,,1014,14416,16740,7060,15715,,2633,1492,2660,1464,2017,8925,2875,9840,2390,10038,2328,7039,1356,1234,8597,6173,8192,16320,12803,12644,6213,2828,12904,,1701,,742,2568,,758,12172,1239,31646,3525,1744,799,,23546,,3012,,1342,6214,5662,944,3885,862,8644,1210,750,1791,4579,938,3636,5443,1511,4549,3381,17514,13333,777,15424,7948,1627,4504,3439,2196,5683,14043,1428,7396,1801,1548,,3581,13645,917,16190,1740,2027,4540,2154,2249,4890,2004,13275,,11800,18133,2082,6319,3273,1337,1698,2251,,,10628,2653,4837,4420,2072,1449,,7850,23958,,7943,994,1424,3595,7916,2031,3448
1971,2560,,3064,,12699,,20376,14266,,1078,16337,1765,1874,1337,8680,15475,1504,,1809,3576,13765,1795,1352,19867,23858,7443,1355,2916,1413,2224,1744,4524,1910,1705,5981,12773,4604,10137,13141,16999,5990,3894,18887,2616,5984,3884,2191,9487,,1034,14773,17511,7258,15703,,2681,1522,2558,1399,2077,9562,2939,10377,2350,10800,2455,7419,1415,1237,8729,6740,8361,19498,13917,12908,6130,2751,13521,,1782,,814,2937,,779,13043,1259,28847,3626,1696,736,,22632,,3102,,1354,6442,5956,931,3982,873,8887,1234,780,1772,4786,1036,3826,5534,1504,4960,3437,18347,14678,743,15838,8006,1595,4903,3543,2265,6040,14697,1526,8000,1874,1743,,3810,14139,881,18279,1839,1923,4997,2086,2287,5317,2064,13640,,12586,18313,1751,10451,3427,1334,1745,2294,,,10158,2879,5095,4942,2112,1450,,7776,24395,,7670,989,1637,3854,7868,1956,3644
1972,2086,,3177,,12934,,20601,15115,,996,17359,1817,1831,1273,9078,16189,1561,,1757,3899,13930,2109,1256,20679,24702,7292,1307,2937,1535,2094,1786,4832,1905,1737,6299,13187,4738,10544,13785,17719,6002,4156,19870,3169,6615,3864,2196,10230,,1063,15786,18279,7109,16053,,2301,1507,2480,1483,2095,10690,3086,11160,2406,11048,2430,7320,1593,1238,9260,7614,9351,18998,15052,13374,6302,2768,14548,,1899,,679,3269,,789,14358,1298,29945,3626,1699,880,,24174,,3110,,1322,6945,6165,767,4294,853,9264,1241,784,1816,4919,1107,4032,5471,1426,5080,3333,18992,16581,755,16338,8684,1575,5098,3523,2330,6489,15334,1637,8655,1971,2020,,4273,14462,896,21057,1705,1906,5568,2029,2381,5515,2065,13725,,13151,18819,2009,11023,4082,1217,1779,2329,,,11696,3322,5403,5539,2193,1427,,7375,25415,,7792,1178,1730,3987,7958,2094,3956
1973,2091,,3312,,13551,6480,21370,15732,8818,1070,18446,1897,1685,1019,9355,17160,1608,9352,1897,4291,13189,2355,1395,21896,25480,6910,1372,3005,1489,2246,2037,5208,1968,1746,6569,13570,5076,10192,14357,18498,5972,4381,20537,3450,6993,4104,2218,10804,8159,1074,16765,19191,8145,17116,9056,2392,1482,2569,1481,2300,10956,3179,12151,2486,11436,2495,7470,1838,1301,9443,8033,10957,20868,15584,14271,6701,2819,15453,11585,1873,6815,905,3989,,835,14763,1341,28829,3597,1737,1039,10381,26126,10894,3157,3715,1237,7472,6464,726,4438,817,9143,1307,786,1765,5056,1101,4689,5450,1212,5710,3678,20086,17289,725,17057,7485,1613,5156,3661,2444,6962,16157,1761,9516,2041,1866,,4774,15504,901,19245,1448,1736,6073,2023,2483,5792,2088,14893,,13898,19548,1880,11370,3533,1134,1665,2465,6893,7881,11855,3225,5660,6192,2268,1388,8691,7682,26603,5316,8677,1193,1899,4154,8608,2032,4027
1974,2149,,3347,,14250,,20744,16052,,1045,18728,2003,1664,1036,9702,24565,1712,,2116,4540,10967,2258,1237,22332,25939,6471,1378,3047,1476,2333,2518,5543,1949,1764,6589,13990,5254,7491,14955,18655,5549,4197,19783,3408,8977,4646,2260,11198,,1062,17124,19643,11612,16824,,2601,1509,2586,1532,2573,10504,3229,11656,2659,12374,2588,7579,2026,1264,9268,8492,12639,21621,15626,14933,6255,2879,15101,,1978,,735,4612,114351,846,14850,1337,33238,3364,1765,1022,,25438,,3263,,1203,7999,6750,662,4858,840,9600,1340,659,1846,4819,1127,5224,5496,1297,6459,4182,21904,18729,745,17168,8871,1604,5105,3752,2515,7376,16036,1900,9364,2151,2069,220717,4783,15960,899,30029,1587,1749,6360,2016,2514,6246,2166,15337,,15134,19744,1963,10736,4193,1262,1707,2490,,,13130,3403,6463,6178,2253,1356,,7835,26287,,11773,1150,1963,4475,8934,1988,4341
1975,2225,3246,3363,,13953,,20864,16305,,1013,18421,1683,1497,1004,10659,20564,1758,,2162,4639,12798,2278,1235,22291,24334,5384,1425,2803,1523,1870,2262,5747,2035,1474,6670,14325,5436,6279,15687,18839,6013,4312,19614,3535,9525,4716,2443,11329,,1039,16657,19599,11678,16745,,2261,1501,2621,1553,3213,11074,3237,11432,2642,12678,2566,7610,1977,1362,9933,8640,14458,21573,16094,14703,6131,2793,15703,,1912,,630,5146,93429,886,10247,1129,32997,3239,1778,987,,21434,,3412,,1178,8504,6977,689,5732,863,9810,1390,548,2030,4749,1135,5014,5406,1143,6252,3791,21375,20639,745,16594,10693,1638,5110,3979,2681,7686,15371,2057,8585,2285,2061,208740,4838,16498,876,31164,1729,1752,6556,1935,2613,6378,2246,15392,,15857,20161,2637,11652,4771,1448,1630,2569,,,13077,3552,7021,6320,2363,1293,,8076,25956,,11126,924,2065,4603,8533,2059,4142
1976,2286,2917,3345,,13746,,21477,16770,,1121,19691,1769,1446,1111,10818,20813,1764,,2240,4904,10192,2343,1192,23198,24666,5518,1384,2989,1547,1629,2222,5986,1971,1484,7073,14478,5513,8086,16207,19929,5954,4426,20956,4035,9227,4988,2768,11836,,1041,16540,20451,12682,17398,,2003,1566,2492,1515,3602,11548,3334,12867,2921,13156,2727,8025,2097,1304,10093,9822,16074,21449,15957,15984,5660,3404,16508,,1876,,692,5478,90904,904,4391,1191,39090,4085,1800,1145,,23228,,3713,,1154,8696,7196,710,6677,892,10216,1393,511,2190,6225,1078,5488,5312,1188,6525,4036,22229,21026,757,17142,11419,1695,5047,3880,2774,7394,15696,2104,8908,2405,2329,204925,5398,16884,979,28854,2004,1840,6949,1842,2724,6663,2230,16128,,16094,20268,2992,13625,5077,1395,1680,2720,,,14366,3731,7525,7127,2503,1267,,8126,27059,,11093,1036,2318,4745,8355,2159,4017
1977,2116,2964,3380,,14399,,21502,17362,,1284,19867,1798,1526,1136,10547,20523,1892,,2267,4903,10346,2358,1229,23558,25457,5932,1413,3001,1547,1670,2117,6165,1887,1393,7752,15060,5698,10206,16661,20553,4955,4410,21212,4046,9969,5251,3050,12270,,1046,16612,21228,11673,18138,,2144,1463,2432,1383,3828,11602,3530,13827,3167,14207,2686,8900,2207,1283,11142,9391,12595,23915,15429,16766,5310,3243,17403,,2024,,776,5745,84877,878,8002,1228,41689,4401,1885,1230,,23295,,3820,,1147,8791,7560,697,7429,918,11209,1482,499,2149,6394,1060,5809,5158,1285,7073,4562,22347,21465,761,16231,10756,1717,4859,3710,2788,7128,16424,2155,9387,2681,2260,157819,5601,17278,981,29479,2347,1740,7367,1781,2901,7152,2619,16524,,17138,19649,2876,12152,4809,1263,1848,2954,,,14381,3765,7386,7674,2406,1251,,8066,28001,,11089,1070,2503,5086,7950,1792,3454
1978,2215,2887,3394,,13601,,21745,17210,,1241,20396,1710,1609,1131,10763,18946,2003,,2201,4976,9820,2338,1212,24015,25895,6286,1583,3116,1594,1564,2097,6494,1869,1509,7871,15178,5990,11267,17262,21156,4619,4979,21418,4034,10922,5373,3188,12656,,1017,17094,21785,11787,19124,,2126,1510,2488,1538,3601,12189,3593,14629,3270,15216,2761,9714,2217,1238,11968,8009,14200,24620,15598,17714,5138,4127,18504,,2099,,874,6109,77180,880,7697,1259,41918,5270,1967,1385,,24181,,3855,,1084,9411,8081,639,8071,942,11716,1506,490,1947,6402,1076,6074,5145,1339,6776,3796,22516,22666,773,15982,9433,1790,5154,3591,2881,7009,17300,2208,9577,2960,2476,159253,6051,17480,983,27674,2261,1648,7912,1772,3082,7473,2771,16958,,18446,19953,2556,14934,5016,1230,1989,3160,,,15692,3922,7101,8501,2437,1150,,8532,29287,,10504,1045,2641,5388,8028,1656,3916
1979,2118,2936,3363,,14400,,22652,17891,,1225,21042,1755,1632,1160,11264,14617,2136,,2230,5184,10217,2361,1152,24943,26847,6712,1648,3021,1604,1751,2525,6607,1960,1542,8058,15247,6092,12726,17418,22021,4214,4184,21999,4167,11511,5639,3343,12871,,1069,18409,22481,12830,20129,,2025,1441,2315,1541,3008,12269,3710,15675,3238,16053,2912,10291,2359,1131,12174,7057,17408,25397,15882,19211,4657,4048,19490,,2009,,900,6205,94011,846,8338,976,43624,5259,2055,1235,,24887,,3954,,1105,10244,8557,767,8735,961,11607,1526,480,2043,5885,1031,6462,5120,1442,6852,2375,23318,24721,794,15886,10291,1796,5210,3659,2856,6579,18063,2262,9975,3200,2341,176138,6212,17537,1071,29218,1937,1653,8548,1783,2911,8086,3166,16901,,19693,20551,2394,17372,4988,945,2023,3257,,,16665,4083,6940,9103,2350,997,,9217,29951,,11257,1037,2711,5741,8167,1583,3890
1980,2108,3120,3501,,14431,6139,22883,18019,8939,1157,22057,1842,1608,1139,10591,17779,2207,10638,2229,5052,9801,2315,1044,24988,27929,7041,1690,3136,1694,1782,2888,6825,2080,1633,8012,15630,5979,13256,17665,22053,4070,4642,21444,3969,11630,5826,3591,13352,8895,1105,19372,22713,14267,20593,10075,1963,1427,2241,1267,2726,12461,3793,16216,3168,16281,3065,11289,2578,1143,12342,5817,17447,26385,16590,20460,4128,4681,20408,11342,2033,6709,923,5645,74728,931,8531,1118,41973,4826,2130,1119,10923,24031,11968,4234,3944,1092,11236,8564,638,8911,1031,14223,1722,459,1961,5796,945,7011,5287,1497,6414,3028,24131,27206,745,15870,11444,1898,5569,3900,3043,6221,18103,2315,10242,3517,2560,202714,6165,18034,1058,32675,1901,1515,9287,1754,2754,8049,2534,16948,,19494,20491,2457,12069,5360,888,1847,3327,6067,6929,17614,4275,6921,9615,2159,940,9376,9825,29613,4877,11355,1076,2652,5848,8871,1462,4003
1981,2369,3056,3445,,13441,6309,23372,17855,9345,1199,20536,2296,1598,1128,11119,17122,2265,11037,2238,5133,9629,2510,1173,25235,28166,7282,1675,3164,2049,1650,3009,6708,2041,1735,7739,15528,6438,13131,17621,21443,3970,5367,20507,4303,12258,5831,3608,12607,9151,1078,19526,22083,12941,19975,10585,1866,1386,2532,1232,2716,12575,3813,16644,3104,16268,2918,11201,2691,1109,12392,5403,15815,27102,17205,20005,3988,4075,19954,11061,1966,6642,899,5842,59182,1064,8483,939,32460,4380,2264,1130,11314,22920,12169,4043,4144,1046,11812,8596,627,9215,1069,13589,1557,469,1971,5893,1012,7175,5196,1388,5657,3091,23143,26957,810,16292,12558,1963,5882,4076,3116,6099,18131,2362,10087,3754,2361,142944,6008,18138,1170,32804,1852,1516,9787,1743,2591,8173,2217,17126,,19290,20617,2962,10811,5632,793,1702,3454,5936,6830,17899,4400,7543,9973,1804,951,9629,9834,30056,4925,10925,1055,2736,5899,9041,1719,4229
1982,2628,2658,3380,,12865,6482,22821,18021,9769,1173,20060,1630,1566,1107,11668,15900,2292,11455,2122,5162,9744,2607,1166,24200,27998,6251,1826,3148,2276,1632,3201,6621,2151,1860,7074,15825,6534,14192,17341,20991,3996,5618,20812,4304,12243,5704,3870,12253,9418,1048,19712,22053,11358,19865,11120,1586,1361,2615,1255,2643,12391,3680,16853,3039,16201,2757,11413,2494,1066,12608,5995,14745,28050,17536,19793,3884,4102,19602,10791,2009,6570,939,6177,47727,1128,5303,929,31986,4471,2239,1178,11711,22955,12360,4355,4356,1075,11364,8631,600,9515,1125,13864,1808,465,1808,6011,1032,7360,4962,1322,5698,2929,22116,25814,842,16571,11639,2023,5822,4035,3213,6201,17366,2412,10214,3690,2536,96393,6247,18128,1100,29058,2179,1744,10028,1692,2547,8218,2265,17569,,18926,20899,3075,9620,5504,798,1660,3536,5806,6736,15972,4295,7559,10092,1845,1000,9893,8819,29211,4970,9853,1033,2705,5895,8844,1652,4108
1983,2789,2462,3484,,13179,6519,22683,18488,9992,1180,19497,1569,1456,1097,11671,15622,2269,11960,2060,4987,10126,2963,1060,24776,28338,5957,1907,3080,2478,1641,3747,6447,2173,1982,6974,16061,6852,14808,17616,21102,3886,5754,21040,4443,12299,5351,4050,11968,9674,1069,19782,21639,11719,20105,11717,1481,1330,2411,1184,2644,12376,3580,17604,2923,15877,2726,11088,2487,1059,12418,6516,12336,25123,18056,19548,4031,4193,19052,11184,2030,6875,978,6714,45215,1185,6435,907,29948,4629,2272,1172,11766,23419,12523,4214,4509,1137,10412,8415,645,9575,1161,13542,2002,436,1805,6058,1083,7528,4688,1289,5439,3083,21920,26270,857,17247,12277,2098,6101,3521,3173,6621,17251,2462,9992,3545,2387,72238,6434,18354,1128,22996,2029,1835,10733,1611,2554,8036,2132,18146,,18848,21404,3226,10129,5343,878,1489,3669,5858,6696,14175,4414,7710,10753,1919,1041,10284,7808,30159,5020,9421,1053,2779,5804,8546,1519,3915
1984,2766,2235,3588,,13313,6727,23458,18361,10430,1173,19417,1623,1397,1173,11855,16059,2292,12285,2140,5041,10389,3578,1103,26145,29271,6069,2120,3035,2690,1837,4012,6421,2297,1861,7256,16437,7356,16297,18006,21247,3741,6029,21457,4786,12283,5357,4176,11585,9851,1022,20059,21192,12401,20270,12572,1575,1269,2351,1221,2543,12661,3550,18897,2965,16178,2678,11135,2556,1035,12703,6368,11673,27339,17914,19581,3987,4758,18897,11012,2090,6829,1017,7136,43703,1120,9195,892,27347,4913,2318,1130,11833,23042,12790,4274,4565,1127,10433,8657,622,9787,1214,13931,2200,445,1743,6930,1131,7910,4512,971,4695,3032,22262,27517,893,17825,13146,2141,5918,3610,2887,7020,18326,2513,9574,3539,2401,62983,6586,18292,1037,21663,1996,1825,11448,1601,2644,8156,2046,18377,,19033,22314,3188,10953,4908,913,1405,3794,5776,6468,14461,4455,7954,11740,2016,920,10493,7684,32076,4704,9274,1106,2804,5887,8585,1653,3600
1985,2700,2389,3593,,12313,6929,24206,18781,10677,1250,18703,1776,1548,1209,11787,10496,2303,12333,2251,5207,9299,4031,1214,27219,30172,6006,2310,3315,2965,1720,4081,6331,2134,1901,7245,16569,7455,16021,18409,21377,3633,5841,22087,4805,12809,5358,4326,11538,9780,940,20173,20830,11719,20712,13282,1650,1243,2323,1244,2778,13302,3404,18111,2914,16136,2638,10937,2578,1021,12874,6273,11435,27171,17976,19859,3515,4761,19017,11004,2078,6442,1063,7322,39503,1248,11305,857,29251,4992,2582,1212,11398,23644,12433,4424,4083,1210,10293,8560,742,10138,1221,13889,2167,373,1767,6728,1274,7273,4262,972,4961,3093,22315,28722,916,17468,14610,2259,5744,3566,2679,7396,18525,2564,9784,3553,2354,48123,6896,18435,1067,26203,1721,1967,11342,1558,2633,8135,2030,18547,14361,19044,22781,3177,10986,4989,977,1402,3881,5664,6339,14081,4591,8391,11874,2151,906,10395,7631,33024,4699,8835,1146,2700,5886,8100,1770,3615
1986,2779,1771,3583,,13077,6868,24308,19626,10808,1298,19640,1529,1713,1201,11917,12797,2367,12591,2206,5835,11427,4228,1176,27211,31589,6179,2409,3317,3103,1568,2616,6592,2067,2147,7800,16884,7392,16558,18917,22858,3560,6476,23665,4911,10761,4969,4315,12383,9973,983,21076,21857,8386,21303,13253,1636,1222,2343,1203,2645,14123,3469,19872,3015,16538,2570,11494,2579,1054,13351,5474,11040,29382,19112,21184,4024,4987,20373,11033,2184,6210,1091,8519,30394,1275,10430,812,25783,5574,2827,1303,11723,26995,12664,4649,4317,1171,9431,9128,722,10555,1201,14274,2303,470,1833,7344,1133,6446,4254,1018,4632,2952,22824,26848,962,18425,10532,2292,6414,4047,2781,7753,19856,2559,10780,3435,2806,27008,7073,18760,1090,16501,1643,2005,11492,1500,2782,8391,1932,19316,14881,19466,23913,4091,10908,4544,1006,1414,3906,5616,6356,12122,4553,8792,13425,1483,876,10418,8612,33851,4518,7953,1151,2675,6068,7762,1430,3492
1987,2507,1986,3710,,13276,6468,25695,20468,11222,1267,20574,1380,1578,1185,12167,13233,2307,12665,2259,5880,13454,4464,1065,28658,32045,6507,2510,3077,2908,1479,2621,6501,2013,2198,7568,16974,7117,17741,19352,23740,3518,6932,24219,5163,9717,4638,4331,13449,9991,1047,22011,22324,7984,22246,13127,1653,1212,2208,1216,2691,14270,3439,22607,3053,16475,2498,11954,2628,1094,14182,5222,11060,32333,20323,22165,4434,5632,21518,10856,2136,6013,1018,9600,30917,1266,12060,817,21440,5977,2894,1313,11864,27530,12509,4431,4281,1073,9333,8985,714,10793,1144,13511,2452,439,1831,9047,1054,6730,5081,966,4226,3049,22614,27565,955,18982,12672,2354,6809,4380,2989,7831,20643,2553,11611,3511,2706,29886,7143,18616,1019,17050,1683,1991,12525,1535,2744,8236,1820,19576,15162,19217,24695,4807,12782,4439,1008,1364,4182,5323,6346,10628,4865,9473,15695,1119,894,10684,9475,34730,4372,7928,1168,2697,5973,8003,1403,3243
1988,2280,2006,3714,,12897,6146,26988,21853,11636,1346,22312,1388,1627,1213,11344,15057,2234,12555,2006,5792,14083,4807,1095,29836,32877,7025,2571,2949,2677,1530,2378,6587,1997,2207,7564,17361,7272,18683,19750,24887,3519,7340,24704,5267,8437,4711,4418,14597,10443,1036,23662,23348,7074,23075,14045,1747,1237,2140,1355,2690,15302,3329,23293,3180,16297,2528,12486,2676,1168,15227,4796,8602,32512,20608,23116,4606,5547,23400,11682,2190,6517,982,10732,30007,1379,8585,809,22427,6166,2910,1505,12738,31044,12958,4766,4228,1027,9168,8680,627,11775,981,12989,2538,465,1826,9127,942,7175,5051,932,4284,2334,23273,26438,1006,19882,9730,2422,5966,4136,3239,8187,21795,2547,12536,3640,2559,27730,7223,18797,995,15167,1602,2020,13555,1562,2821,8101,1779,20011,15388,18509,25709,4814,12878,4825,1053,1389,4611,5824,6762,9762,4923,9657,16079,1461,918,10746,9373,35865,4647,7993,1210,2722,5845,8112,1567,3340
1989,2067,2146,3687,,11979,6954,27696,23223,10505,1270,23118,1225,1512,1336,11192,14812,2248,13334,2049,5832,15731,5970,1129,30579,34117,7570,2509,2785,2482,1537,2372,6593,1922,2308,7860,17517,7268,20637,20086,25724,3185,7414,24946,5360,8381,4705,4457,15817,11103,1022,24741,24014,9008,23642,13562,1685,1234,2090,1319,2587,16024,3521,25065,3179,16012,2407,12563,2855,1228,16571,4841,7491,30687,20147,23979,4614,5629,24869,11584,2149,6562,1022,11571,28042,1465,4904,838,23392,6144,2976,1573,12603,35253,13643,4761,4469,974,9299,8829,683,12745,992,12953,2431,497,1832,9523,971,7773,4919,898,4219,2151,24249,27410,1067,20174,11567,2468,5905,3379,3456,8417,22672,2539,13193,3653,2512,28184,6854,18867,1041,15770,1747,1912,14488,1597,2893,8228,2040,20389,15480,18282,26418,5059,13978,4221,1042,1427,4991,5240,6061,9015,5088,9471,17452,1329,945,11165,9362,36757,4642,7363,1164,2724,5858,8000,1295,3369
